A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,Move
4,16,0,0,128,32,0,4,4,128,512,8,256,8,8,4,Right
0,0,4,16,4,128,32,4,4,128,512,8,0,256,16,4,Left
4,16,0,0,4,128,32,4,4,128,512,8,256,16,4,4,Right
0,0,4,16,4,128,32,4,4,128,512,8,4,256,16,8,Left
4,16,0,4,4,128,32,4,4,128,512,8,4,256,16,8,Up
8,16,32,8,8,256,512,16,0,256,16,0,0,4,0,0,Up
16,16,32,8,0,512,512,16,0,4,16,4,0,0,0,0,Right
0,32,32,8,0,0,1024,16,0,4,16,4,0,0,0,4,Right
0,0,64,8,0,4,1024,16,0,4,16,4,0,0,0,4,Down
0,0,4,0,0,0,64,8,0,0,1024,16,0,8,16,8,Left
4,0,0,0,64,8,0,4,1024,16,0,0,8,16,8,0,Down
4,4,0,0,64,0,0,0,1024,8,0,0,8,32,8,4,Left
8,0,4,0,64,0,0,0,1024,8,0,0,8,32,8,4,Up
8,8,4,4,64,32,8,4,1024,0,0,0,8,0,0,0,Right
0,0,16,8,64,32,8,4,4,0,0,1024,0,0,0,8,Up
64,32,16,8,4,0,8,4,0,0,4,1024,0,0,0,8,Right
64,32,16,8,0,4,8,4,0,0,4,1024,4,0,0,8,Right
64,32,16,8,4,4,8,4,0,0,4,1024,0,0,4,8,Down
0,0,0,8,0,4,16,4,64,32,8,1024,4,4,8,8,Right
0,0,0,8,4,4,16,4,64,32,8,1024,0,0,8,16,Right
0,0,0,8,0,8,16,4,64,32,8,1024,4,0,8,16,Left
8,4,0,0,8,16,4,0,64,32,8,1024,4,8,16,0,Down
0,4,0,0,16,16,4,0,64,32,8,4,4,8,16,1024,Left
4,0,4,0,32,4,0,0,64,32,8,4,4,8,16,1024,Down
4,0,4,0,32,4,4,0,64,32,8,4,4,8,16,1024,Left
8,0,0,4,32,8,0,0,64,32,8,4,4,8,16,1024,Down
8,0,0,0,32,8,4,0,64,32,8,8,4,8,16,1024,Right
0,0,0,8,4,32,8,4,0,64,32,16,4,8,16,1024,Left
8,0,0,4,4,32,8,4,64,32,16,0,4,8,16,1024,Down
8,0,0,0,4,4,0,0,64,64,8,8,4,8,32,1024,Up
8,4,8,8,4,64,32,1024,64,8,0,0,4,4,0,0,Left
8,4,16,0,4,64,32,1024,64,8,0,0,8,0,0,4,Right
0,8,4,16,4,64,32,1024,0,4,64,8,0,0,8,4,Down
0,0,4,16,4,8,32,1024,0,64,64,8,4,4,8,4,Left
4,16,0,4,4,8,32,1024,128,8,0,0,8,8,4,0,Up
8,16,32,4,128,16,4,1024,8,8,0,0,4,0,0,0,Down
8,0,0,4,128,0,0,0,8,32,32,4,4,8,4,1024,Up
8,32,32,8,128,8,4,1024,8,0,0,0,4,0,4,0,Left
8,64,8,0,128,8,4,1024,8,0,0,4,8,0,0,0,Left
8,64,8,0,128,8,4,1024,8,4,0,0,8,4,0,0,Right
0,8,64,8,128,8,4,1024,0,0,8,4,0,4,8,4,Down
0,0,0,0,4,0,64,8,0,16,4,1024,128,4,16,8,Down
0,4,0,0,0,0,64,8,4,16,4,1024,128,4,16,8,Left
4,0,0,4,64,8,0,0,4,16,4,1024,128,4,16,8,Up
4,8,4,4,64,16,16,1024,4,4,0,8,128,0,0,4,Left
4,8,8,0,64,32,1024,0,8,8,4,0,128,4,0,0,Down
4,8,0,0,64,32,8,4,8,8,1024,0,128,4,4,0,Down
4,8,0,4,64,32,8,0,8,8,1024,0,128,4,4,4,Up
4,8,8,8,64,32,1024,0,8,8,4,0,128,4,0,4,Right
0,4,8,16,4,64,32,1024,0,0,16,4,0,0,128,8,Up
4,4,8,16,4,64,32,1024,0,0,16,4,0,0,128,8,Left
8,8,16,0,4,64,32,1024,16,4,4,0,128,8,0,0,Left
16,16,0,0,4,64,32,1024,16,8,4,0,128,8,0,0,Left
32,0,0,0,4,64,32,1024,16,8,4,4,128,8,0,0,Left
32,0,0,0,4,64,32,1024,16,8,8,0,128,8,0,4,Up
32,64,32,1024,4,16,8,4,16,0,4,0,128,0,0,0,Left
32,64,32,1024,4,16,8,4,16,4,0,0,128,0,4,0,Right
32,64,32,1024,4,16,8,4,0,0,16,4,4,0,128,4,Up
32,64,32,1024,8,16,8,8,0,0,16,4,0,4,128,0,Left
32,64,32,1024,8,16,16,4,16,4,0,0,4,128,0,0,Left
32,64,32,1024,8,32,4,0,16,4,4,0,4,128,0,0,Right
32,64,32,1024,4,8,32,4,0,0,16,8,0,0,4,128,Up
32,64,64,1024,4,8,16,4,0,0,4,8,0,4,0,128,Left
32,128,1024,0,4,8,16,4,4,8,4,0,4,128,0,0,Up
32,128,1024,4,8,16,16,0,4,128,4,0,0,4,0,0,Right
32,128,1024,4,0,0,8,32,0,4,128,4,0,0,4,4,Up
32,128,1024,4,0,4,8,32,4,0,128,8,0,0,4,0,Down
0,0,1024,0,4,0,8,4,32,128,128,32,4,4,4,8,Left
1024,0,0,0,4,8,4,4,32,256,32,0,8,4,8,0,Up
1024,8,4,4,4,256,32,0,32,4,8,0,8,0,0,4,Left
1024,8,8,0,4,256,32,0,32,4,8,0,8,4,4,0,Left
1024,16,4,0,4,256,32,0,32,4,8,0,8,8,0,0,Down
1024,16,0,0,4,256,4,0,32,4,32,0,8,8,8,4,Left
1024,16,0,0,4,256,4,0,32,4,32,0,16,8,4,4,Right
0,0,1024,16,0,4,256,4,4,32,4,32,0,16,8,8,Left
1024,16,0,4,4,256,4,0,4,32,4,32,16,16,0,0,Up
1024,16,8,4,8,256,0,32,16,32,0,4,0,16,0,0,Down
0,16,0,0,1024,256,0,4,8,32,4,32,16,16,8,4,Right
4,0,0,16,0,1024,256,4,8,32,4,32,0,32,8,4,Up
4,1024,256,16,8,64,4,4,0,0,8,32,0,0,4,4,Right
4,1024,256,16,0,8,64,8,0,4,8,32,0,0,0,8,Left
4,1024,256,16,8,64,8,4,4,8,32,0,8,0,0,0,Down
4,4,0,0,8,1024,256,0,4,64,8,16,8,8,32,4,Left
8,0,0,0,8,1024,256,4,4,64,8,16,16,32,4,0,Up
16,1024,256,4,4,64,8,16,16,32,4,0,4,0,0,0,Right
16,1024,256,4,4,64,8,16,0,16,32,4,0,0,4,4,Up
16,1024,256,4,4,64,8,16,0,16,32,8,4,0,4,0,Down
0,0,256,4,0,1024,8,4,16,64,32,16,8,16,4,8,Up
16,1024,256,8,8,64,8,16,0,16,32,8,4,0,4,0,Right
16,1024,256,8,8,64,8,16,0,16,32,8,0,4,0,8,Up
16,1024,256,8,8,64,8,16,4,16,32,16,0,4,0,0,Right
16,1024,256,8,8,64,8,16,4,16,32,16,0,0,4,4,Down
4,0,256,0,16,1024,8,8,8,64,32,32,4,16,4,4,Right
0,0,4,256,0,16,1024,16,4,8,64,64,0,4,16,8,Up
4,16,4,256,4,8,1024,16,0,4,64,64,0,0,16,8,Up
8,16,4,256,0,8,1024,16,0,4,64,64,4,0,16,8,Down
0,4,4,256,0,16,1024,16,8,8,64,64,4,4,16,8,Right
0,0,8,256,0,16,1024,16,4,0,16,128,0,8,16,8,Up
4,16,8,256,0,8,1024,16,0,0,32,128,4,0,0,8,Down
0,0,4,256,0,0,8,16,0,16,1024,128,8,8,32,8,Left
4,256,0,0,8,16,0,4,16,1024,128,0,16,32,8,0,Down
0,256,4,0,4,16,0,0,8,1024,128,0,32,32,8,4,Down
0,256,0,4,4,16,4,0,8,1024,128,0,32,32,8,4,Left
256,4,0,4,4,16,4,0,8,1024,128,0,64,8,4,0,Up
256,4,4,4,4,16,128,4,8,1024,4,0,64,8,0,0,Down
256,4,0,4,4,16,4,0,8,1024,128,0,64,8,4,8,Right
0,0,256,8,4,4,16,4,0,8,1024,128,64,8,4,8,Up
4,4,256,8,64,16,16,4,0,4,1024,128,0,0,4,8,Down
0,0,256,8,4,4,16,4,4,16,1024,128,64,4,4,8,Up
8,4,256,8,64,16,16,4,0,4,1024,128,0,4,4,8,Up
8,4,256,8,64,16,16,4,0,8,1024,128,4,0,4,8,Up
8,4,256,8,64,16,16,4,4,8,1024,128,0,4,4,8,Down
4,4,256,8,8,16,16,4,64,8,1024,128,4,4,4,8,Right
